Code,Description
3318,GROUND BOND
3319,HINGES NO GROUND
3320,HIPOT WIRE HARNESS DEF
3321,HIPOT JAMB SWITCH
3322,HIPOT OVEN LIGHT
3323,HIPOT MAINBACK FOIL
3324,HIPOT BAKE ELEM UPPER
3325,HIPOT BAKE ELEM LOWER
3326,HIPOT BROIL ELEM UPPER
3327,HIPOT BROIL ELEM LOWER
3328,HIPOT SCREW UNDER UNIT
3329,HIPOT HIGH LIMIT SWITCH
3330,HIPOT MEAT PROBE
3331,Probe Plugged Wrg Hipot
3332,Hipot Machine Cntl Brd
3335,HIPOT HID BAKE WIRE DMGD
3336,Failed Hipot
3337,Hipot Broke Wire
3338,Hipot Screw in Wire
3405,HINGE DOOR DEFECTIVE
3406,HINGE DOOR LOOSE
3412,HINGE DOOR DAMAGED
3413,HINGE DOOR ASSEMBLED-WRG
3414,HINGE DOOR MISSING
3415,HINGE DOOR WRONG
3447,JAM SWITCH DAMAGED
3448,JAM SWITCH WIRE OFF
3449,JAM SWITCH WIRES CROSSED
3452,JAM SWITCH ASSMBLD WRONG
3453,JAM SWITCH LOOSE
3454,JAM SWITCH MISSING
3455,JAM SWITCH UNPLUGGED
3456,Jam Switch Misplugged
3470,JAM SWITCH UNPLUG UPPER
3471,JAM SWITCH UNPLUG LOWER
3472,JAM SWITCH MISSING UPPER
3473,JAM SWITCH MISSING LOWER
3474,JAM SWITCH LOOSE UPPER
3475,JAM SWITCH LOOSE LOWER
3476,JAM SWITCH NOT ACTIVATED
3513,HINGE OTHER DAMAGED
3514,HINGE OTHER DEFECTIVE
3515,HINGE OTHER ASMBLD WRNG
3516,HINGE OTHER LOOSE
3517,HINGE OTHER MISSING
3518,HINGE ADJ UP .030 BLUE
3519,HINGE ADJ DOWN .030 GR
3520,HINGE ADJ UP .060 YEL
3521,HINGE ADJ DOWN .060 BLK
3522,HINGE ADJUST FILED
3535,HINGE MAINTOP MISSING
3550,HINGE DAMAGED
3551,HINGE DEFECTIVE
3552,HINGE LOOSE
