Code,Description
FC12 ,BLACK SPECKS
FC13 ,FURNACE SCALE
FC14 ,METAL FINISH
FC15 ,DENTS
FC16 ,SPLITS
FC17 ,WELDS
FC18 ,BURRS
FC19 ,BRUSH SCAR
FC20 ,RUST
FC21 ,WATER
FC22 ,BOIL OUT
FC23 ,MISC.
FC24 ,CRATERS
FC25 ,BLUE CORNERS
FC26 ,BUMP CONTRASTING
FC27 ,WHITE SPECKS
FC28 ,BLUE SPOTS
FC29 ,BOWED MAINTOP
FC30 ,FALLOFF (TRANSFER AREA)
FC31 ,SHALING
FC32 ,SLUGS
FC33 ,ENAMEL REWORK
FC34 ,CHIPS/SPALLING
FC35 ,WHT BOOTH SCAR
FC36 ,BUMPS/LUMPS
FC37 ,WARPED MT
FC38 ,WATER SPOT
FC39 ,LUBE DEFECT
FC40 ,DIE MARK
FC41 ,BURNOFF
FC42 ,RACK MARK
FC43 ,TRIAL RUN
FC44 ,PROCESS DEVIATION
FC45 ,GREEN BELT PROJECT
FC46 ,BLACK BELT PROJECT
FC47 ,BLUE LINES
FC48 ,OIL
FC49 ,TOX LOOSE
FC50 ,TOX DENT
FC51 ,FURNACE SCAR
FC52 ,TOX MISSING
FC53 ,DRIED LUBE
FC54 ,A-BUMP CONTRASTING
FC55 ,A-TRASH
FC56 ,A-BLACK SPECKS
FC57 ,A-PITS
FC58 ,A-STARRING/ROUGH SPRAY
FC59 ,A-DENTS
FC60 ,A-WHITE SPECKS
FC61 ,A-LIGHT SPRAY U/S
FC62 ,A-FALL OFF
FC63 ,A-TRANSFER SCAR
FC64 ,HOLE MISSING
FC65 ,PLASTIC FILM DAMAGE
FC66 ,A-BLUE CORNERS
FC67 ,A-BLUE SPOT
FC68 ,A-BURRS
FC69 ,A-OUTGASSING
FC70 ,A-BOIL OUT
FC71 ,A-SLUGS
FC72 ,A-CREASE
FC73 ,A-FISH SCALE
FC74 ,A-REWORK
FC75 ,A-HAIRLINE
FC76 ,A-GRAPHIC TRANSFER
FC77 ,A-PAINT BLISTER
FC78 ,HEAT SINK
FD00 ,FRENCH DOOR PARALLELISM
FD01 ,FRENCH DOOR FLUSHNESS
FD02 ,FD Hold Down Brkts Miss
FD03 ,FD Push Pull Failure
FD04 ,FD Adjustments
FF01 ,ROUGH SPRAY
FF02 ,BOIL OUT
FF03 ,ENAMEL BUMPS CORNER
FF04 ,SCARS
FF05 ,BURNOFF
FF06 ,DISCOLORED SPOTS
FF07 ,FLOWCOAT MISS
FF08 ,DENTS
FF09 ,WATER LINES
FF10 ,OIL
FF11 ,MISC.
FF12 ,PRESS AND WELD
FF13 ,LINE SCARS
FF14 ,BRUSH/BEAD
FF15 ,TAB DEFECT
FF16 ,TRIAL RUN
FF17 ,PROCESS DEVIATION
FF18 ,GREENBELT PROJECT
FF19 ,BLACKBELT PROJECT
FF20 ,CHIP
FF21 ,DRAIN LINE
FF22 ,FURNACE SCAR
FF23 ,HEAVY SPRAY
FF24 ,OPERATOR DAMAGE
FF25 ,RESPRAY
FF26 ,A-BOIL OUT
FF27 ,A-BRUSH/BEAD
FF28 ,A-BURNOFF
FF29 ,A-CHIPS
FF30 ,A-DENTS
FF31 ,A-DARK SPOTS
FF32 ,EA-NAMEL BUMPS
FF33 ,A-FLOWCOAT MISS
FF34 ,A-HEAVY SPRAY
FF35 ,A-MISC
FF36 ,A-OIL
FF37 ,A-OPERATOR DAMAGE
FF38 ,A-PRESS/WELD
FF39 ,A-RESPRAY
FF40 ,A-ROUGH SPRAY
FF41 ,A-SCARS
FF42 ,A-SPLITS
FF43 ,A-TAB DEFECT
FF44 ,A-WATER LINES
FF45 ,BURNOFF
FF46 ,BURNOFF CORNER
FF47 ,BURNOFF RIBS/BOTTOM
FF48 ,ENAMEL BUMPS LUMPS
FF49 ,SHEARED OFF SPLITS
FF50 ,BURNOFF HANDSPRAYER
FF51 ,BLOWOFF
FF52 ,BLOWOFF SCARS
FF53 ,BLOWOFF OIL
FF54 ,BLOWOFF TRASH
FF55 ,BLOWOFF WATERSPOTS
FF56 ,BLOWOFF FLOWCOAT MISS
FF57 ,NON WASH DEFECT
FF58 ,A-DEBEAD CHIP
FF90 ,FAD/FOD Switch Miss UPR
FF91 ,FAD/FOD Switch Miss LOW
FF93 ,FAD/FOD SWITCH UNPLUGGED
FF94 ,FAD/FOD SWITCH WRONG
FF95 ,FAD/FOD SWITCH MISSING
FF96 ,FAD/FOD SWITCH LOOSE
FF97 ,FAD/FOD SWITCH ASM WRONG
FF98 ,FAD/FOD SWITCH DEFECTIVE
FF99 ,FAD/FOD SWITCH DAMAGED
FG02 ,ENAMEL BUMPS
FG03 ,TRANSFER SCARS
FG04 ,BURNOFF
FG05 ,BLUE SPOTS
FG06 ,DENTS
FG07 ,FALLOFF
FG08 ,FURNACE SCARS
FG09 ,WATER
FG10 ,RAW DEFECT
FG11 ,BAD STEEL
FG12 ,PRESS AND WELD
FG13 ,BAD REWORK
FG14 ,BOWED/WARPED
FG15 ,HEAVY SPRAY
FG16 ,OUTGASSING
FG17 ,POWDER SLIDE
FG18 ,TRIAL RUN
FG19 ,PROCESS DEVIATION
FG20 ,GREEN BELT PROJECT
FG21 ,BLACK BELT PROJECT
FG22 ,OIL
FG23 ,DARK SPOTS
FG24 ,A-CHIP
FG25 ,A-DENTS
FG26 ,A-BURN OFF
FG27 ,A-TRANSFER SCAR
FG28 ,A-FALL OFF
FG29 ,a_DEBRIS
FG30 ,A-TEAR DOWNS
FG31 ,BLOW OFF
FG32 ,A-OPERATOR DAMAGE
FG33 ,A-ENAMEL BUMPS
FG34 ,A-BAD WELDS
FG35 ,A-BRACKETS MISSING
FG36 ,A-BRACKETS INSERT WRONG
FG37 ,A-LINE DAMAGE
FG38 ,A-STACKER DAMAGE
FG39 ,PITS
FG40 ,MIS FORM
FG41 ,OIL
FG42 ,HEAVY SPRAY
FG43 ,TRASH
FG44 ,OIL
FG46 ,SCRATCH
FG48 ,UNKNOWN
FG50 ,UNKNOWN
FG56 ,WATER SPOT
FP01 ,LIGHT SPRAY
FP02 ,SPLATTERS & BUMPS
FP03 ,IMPACK FUSION
FP04 ,DIRT
FP05 ,FISH EYES
FP06 ,RUST
FP07 ,FAB DEFECTS
FP08 ,PAINT NO GROUND
FP09 ,SCRATCHES
FP10 ,HEAVY SPRAY
FP11 ,CHEMICAL SPOTS
FP12 ,WATER SPOTS
FP13 ,OIL
FP14 ,MISC.
FP15 ,BAD REWORK
FP16 ,FRONT PANEL DENT
FP17 ,FRONT PANEL SCRATCH
FP18 ,PINHOLES
FP19 ,TRIAL RUN
FP20 ,PROCESS DEVIATION
FP21 ,GREEN BELT PROJECT
FP22 ,BLACK BELT PROJECT
FP23 ,STRIP RESIDUE
FP24 ,RACK PROBLEM
FP25 ,CONTRASTING DEFECT
FP26 ,ASM TRASH/DIRT
FP27 ,ASM DENTS
FP28 ,ASM HEAVY SPRAY
FP29 ,ASM RACK PROBLEMS
FP30 ,ASM LIGHT SPRAY
FP31 ,ASM RUB MARKS
FP32 ,ASM FAB DEFECTS
FP33 ,ASM SPLATTERS/BUMPS
FP34 ,ASM CONTRASTING SPECKS
FP35 ,ASM NO GROUND
FP36 ,ASM FISH EYES
FP37 ,ASM WATER SPOTS
FP38 ,ASM OIL
FP39 ,ASM BROKEN WELDS
FP40 ,ASM CONTRASTING SPECKS
FP41 ,ASM RUB MARK
FP42 ,ASM CHEMICAL SPOTS
FP43 ,ASM BAD WELDS
FP44 ,CONVEYOR DAMAGE
FP45 ,BAD WELDS
FP46 ,ASM SCRATCHES
FP47 ,POOR BOND
FP48 ,ASM RUST
FP49 ,ASM MISC
FP50 ,FELT PAD MISSING
FP51 ,FELT PAD SHOWS
FP52 ,BUMPER MISSING
FP53 ,HT-TRASH/DIRT
FP54 ,HT-PITS/CRATERS
FP55 ,HT-CONTRASTING SPECKS
FP56 ,HT-LIGHT SPRAY
FP57 ,HT-HEAVY SPRAY
FP58 ,HT-MISC
FP59 ,ORANGE PEEL
FP60 ,HT-ORANGE PEEL
FP70 ,DOOR GLASS FELT MISSING
FP71 ,DOOR GLASS FELT SHOWS
FP75 ,Bumpers Loose
FP87 ,FACE PLATE-GLASS UNPLUGD
FP88 ,FACE PLATE-PLASTIC WRONG
FP89 ,FACE PLATE-GLASS WRONG
FP90 ,FACE PLATE-PLASTIC MISSG
FP91 ,FACE PLATE_GLASS MISSING
FP92 ,FACE PLATE-PLASTIC LOOSE
FP93 ,FACE PLATE-GLASS LOOSE
FP94 ,FACE PLATE_GLASS ASM WRG
FP95 ,FACE PLATE_PLAST ASM WRG
FP96 ,FACE PLATE-PLASTIC DEFEC
FP97 ,FACE PLATE-GLASS DEFECT
FP98 ,FACE PLATE - PLASTIC DMGD
FP99 ,FACE PLATE-GLASS DAMAGED
FR00 ,FRAME ASSEMBLED WRONG
FR01 ,FRAME WRONG PART
FU01 ,FUSE MISSING
GL01 ,GLASS OTHER DAMAGED
GL02 ,OUTER DOOR GLASS DEFECT2
GL03 ,OUTER DOOR GLASS ASMWRG
GL04 ,GLASS LOOSE
GL05 ,GLASS MISSING
GL06 ,GLASS WRONG
GL07 ,GLASS DAMAGED UPPER
GL08 ,GLASS DAMAGED LOWER
GL09 ,OUTER GLASS PACK DIRTY
GL10 ,INSIDE OF GLASS PK DIRTY
GL11 ,INSULATION INSIDE GLPACK
GM01 ,GAS MAINTOP GLASS DMGD
GM02 ,GAS MAINTOP PORC DMGD
GM03 ,GAS MAINTOP GLASS DEF
GM04 ,GAS MAINTOP PORC DEF
GM05 ,GAS MAINTOP SS DMGD
GM06 ,GAS MAINTOP SS DEF
GP01 ,GLASS PACK DIRTY UPPER
GP02 ,GLASS PACK DIRTY LOWER
GP03 ,GLASS PACK DEFECT UPPER
GP04 ,GLASS PACK DEFECT LOWER
GP05 ,GLASS PACK DAMAGED UPPER
GP06 ,GLASS PACK DAMAGED LOWER
GR01 ,GROUND WIRE UNPLUGGED
GR02 ,GROUND WIRE NOT SCR DOWN
HA01 ,HALOGEN OVN LT DAMAGED
HA02 ,HALOGEN OVN LT BULB DEF
HA03 ,HALOGEN OVN LT ASM WRONG
HA04 ,HALOGEN OVN LT LOOSE
HA05 ,HALOGEN OVN LT UNPLUGGED
HA06 ,HALOGEN OVN LT WIRE DEF
HI50 ,HIGH BOWL
HL01 ,HOT LIGHT ALIGNMENT
HL02 ,HOT LIGHT DEFECTIVE
HL03 ,HOT LIGHT WIRED WRONG
HL04 ,HOT LIGHT MAINTOP UNPLUG
HL05 ,Hot Light Crosswired
HS01 ,HEAT SHIELD LOOSE
HS02 ,HEAT SHIELD MISSING
IB01 ,INCANDESCENT BULB DEFECT
IB02 ,INCANDESCENT CERAMIC DEF
IG01 ,IGNITOR LR UNPLUGGED
IG02 ,IGNITOR RR UNPLUGGED
IG03 ,IGNITOR MR UNPLUGGED
IG04 ,IGNITOR LF UNPLUGGED
IG05 ,IGNITOR RF UNPLUGGED
IG06 ,IGNITOR MISALIGNED
IJ01 ,INJET ASSEMBLED WRONG
IJ02 ,INJET DAMAGED
IJ03 ,INJET DEFECTIVE
IJ04 ,INJET WRONG PART
IJ05 ,INJET NUT LOOSE
IJ06 ,INJET LEAKS
IJ07 ,INJET LF ALIGNMENT
IJ08 ,INJET LR ALIGNMENT
IJ09 ,INJET RR ALIGNMENT
IJ10 ,INJET RF ALIGNMENT
IJ11 ,INJET MR ALIGNMENT
IJ12 ,INJET CLIP LF ASMD WRONG
IJ13 ,INJET CLIP LR ASMD WRONG
IJ14 ,INJET CLIP RF ASMD WRONG
IJ15 ,INJET CLIP RR ASMD WRONG
IJ16 ,INJET CLIP ASM WRONG
IJ17 ,INJET HOUSING WRONG PART
IJ18 ,INJET CLIP MISSING
IJ19 ,INJET NOT PIPED UP
IL01 ,IND LIGHT LENS MISSING
IL02 ,IND LIGHT LENS DEFECTIVE
IL03 ,IND LIGHT LENS LOOSE
IM01 ,INDUCTION MOD ALIGNMENT
IM02 ,INDUCTION MOD ASSM WRONG
IM03 ,INDUCTION MOD DAMAGED
IM04 ,INDUCTION MOD DEFECTIVE
IM05 ,HYPOT INDUCTION MODULE
IM06 ,INDUCTION MOD UNPLUGGED
IN01 ,LOW CYCLE TIME INFINITE
IN10 ,INNER VENT TRIM WRONG
IS00 ,INS SHOWS IN DR LINER
KERR ,KICK OFF ERROR
KR01 ,KNIGHT RIDER DEFECTIVE
KR02 ,KNIGHT RIDER DAMAGED
KR03 ,Knight Rider Wrong Part
KR04 ,Knight Rider Unplugged
LB00 ,LIGHT BAR DEFECTIVE
LB01 ,Light Guide Missing
LB08 ,LED Board Defective
LB09 ,LED Board Unplugged
LC04 ,CONV FAN COVER DEFECTIVE
LC05 ,CONV FAN MOTOR LOOSE
LC06 ,CONV FAN COVER LOOSE
LC07 ,CONV FAN COVER DAMAGED
LC08 ,CONV FAN BINDING
LC09 ,Conv Fan Cover Scratched
LC50 ,CONV ELEMENT DEFECTIVE
LC55 ,CONV ELEMENT CROSSWIRED
LC59 ,CONV ELEMENT DAMAGED
LC61 ,CONVECT BAKE DEFECT
LC63 ,CONVECT BAKE LOOSE
LC64 ,CONV BAK UNPLUGGED
LC65 ,CONVECT ELEMENT LOOSE
LC66 ,CONVECT ELEMENT MISSING
LC67 ,CONVECT ELEMENT WRONG
LC68 ,CONVECT ELEMENT UNPLUGED
LC82 ,CONV BAKE ASM WRONG
LED1 ,LED HARNESS DEFECTIVE
LED2 ,LED HARNESS DAMAGED
LED3 ,LED HARNESS UNPLUGGED
LED4 ,LED HARNESS CROSSWIRED
LED5 ,Wrong LED Board
LED7 ,LED LIGHTS WRONG PART
LED8 ,LED LIGHTS DEFECTIVE
LED9 ,LED LIGHT ALIGNMENT
LG01 ,LOGIC BOARD ASMD WRONG
LG02 ,LOGIC BOARD DAMAGED
LG03 ,LOGIC BOARD DEFECTIVE
LG04 ,LOGIC BOARD LOOSE
LG05 ,LOGIC BOARD UNPLUGGED
LK03 ,LOCK MOTOR BINDS
LK08 ,LOCK MOTOR WIRE HARN DEF
LK10 ,Lock to Door Alignment
LK20 ,Lock Asm Cross Wired UPR
LK21 ,Lock Asm Cross Wired LOW
LK24 ,LOCK PIGGYBACK UP ASMWRG
LK25 ,LOCK PIGGYBACK LO ASMWRG
LK26 ,LOCK ASMBLY CROSS WIRED
LK27 ,LOCK MICROSW ARM BENT
LK50 ,NO PUSH TO TURN LOCKOUT
LL01 ,LIGHT LENS ASM WRONG
LM00 ,LIMIT SWITCH DAMAGED
LM01 ,LIMIT SWITCH DEFECTIVE
LM02 ,LIMIT SWITCH UNPLUGGED
LM04 ,LIMIT SWITCH TOP UNPLUGD
LM05 ,LIMIT SWITCH BACK UNPLUG
LR00 ,LOCK REFERENCE SET WRONG
LR15 ,RIBBON LARGE UNPLUG
LS00 ,LOCKOUT SWITCH DEFECTIVE
LS01 ,LOCKOUT SWITCH CRSSWIRED
LS02 ,LOCKOUT SWITCH ASMD WRG
LS04 ,LOCKOUT SWITCH UNPLUGGED
LS05 ,LOCKOUT SWITCH DAMAGED
LV10 ,LOCKOUT VALVE DEFECTIVE
LV11 ,LOCKOUT VALVE LEAKS
LV12 ,LOCKOUT VALVE ALIGNMENT
MA01 ,MANUAL MODE
MA10 ,RPSM AUX BOARD DEFECT
MA11 ,RPSM AUX BOARD ASM WRG
MA12 ,RPSM AUX BOARD UNPLUG
MA13 ,RPSM AUX BOARD CRSWIRED
MB01 ,MABE NUT LOOSE
MB02 ,MABE NUT STRIPPED
MB03 ,MABE NUT MISSING
MB04 ,MABE NUT CROSSTHREADED
MB10 ,Mode Board Defective
MB25 ,MOISTURE BARRIER MISSING
MB26 ,MOISTURE BARRIER ASMWRG
MC01 ,JUNCTION BLOCK DAMAGED
MC02 ,JUNCTION BLOCK DEFECTIVE
MC03 ,JUNCTION BLOCK LOOSE
MC04 ,JUNCTION BLOCK MISSING
MC05 ,JUNCTION BLOCK UNPLUGGED
MC06 ,MICROWAVE WRONG
MC07 ,JUNCTION BLOCK ASM WRONG
MC08 ,MICROWAVE FRAME DAMAGED
MC09 ,MICROWAVE FRAME DEFECT
MC10 ,MICROWAVE FRAME ASSM WRG
MC11 ,MICROWAVE DOOR DAMAGED
MC12 ,MICROWAVE DOOR DEFECTIVE
MC13 ,MICROWAVE DOOR ASSM WRNG
MC14 ,MICROWAVE DOOR LOOSE
MC15 ,MICROWAVE WIR/CON DMG
MC16 ,MICROWAVE WIR/CON DEF
MC17 ,MICROWAVE WIR/CON ASM W
MC18 ,MICROWAVE WIR/CON UNPLUG
MC19 ,MICROWAVE CONT PNL DMGD
MC20 ,MICROWAVE CONT PNL DEF
MC21 ,MICROWAVE CONT PNL ASM W
MC22 ,Microwave Unplugged
MC23 ,Microwave Side Trim Def
MC24 ,MICROWAVE ERC DEFECTIVE
MC25 ,MICROWAVE LEAKS
MC26 ,MICROWAVE MISSING
MC27 ,JUNCTION BLOCK WRONG
MC29 ,MICROWAVE INNER WIRE UNP
MC30 ,MICROWAVE FRAME LOOSE
MC31 ,MICROWAVE DIRTY
MC32 ,MICROWAVE DR GASKT LOOSE
MC33 ,MW Fuse Defective
MC34 ,MW Halogen Elem Def
MC35 ,MW Convect Elem Def
MC36 ,MW Convect Fan Def
MC37 ,MW Door Packing
MC48 ,MAGNETRON NOISY
MC49 ,MICROWAVE LOW WATTS
MC50 ,SAFETY INTERLOCK DEFECT
MC51 ,MAGNETRON NOT SEATED
MC52 ,MAGNETRON SCREWS MISSING
MC53 ,MAGNETRON UNPLUGGED
MC54 ,MAGNETRON DEFECTIVE
MC55 ,DIODE SCREW LOOSE
MC56 ,SIDE TRIM LOOSE
MC57 ,MICROWAVE FAILED HYPOT
MC58 ,MICROWAVE NO SPARKLE
MD01 ,MIDDLE TRIM DAMAGED
MD02 ,MIDDLE TRIM DEFECTIVE
MD03 ,MIDDLE TRIM ASM WRONG
MD04 ,MIDDLE TRIM LOOSE
MD05 ,MIDDLE TRIM MISSING
MD06 ,MIDDLE TRIM WRONG
ME00 ,RPSM MAIN BOARD DEFECT
ME01 ,RPSM MAIN BOARD ASM WRG
ME02 ,RPSM MAIN BOARD UNPLUG
ME03 ,RPSM MAIN BOARD CRSWIRED
MN01 ,MANIFOLD PANEL ASM WRG
MN02 ,MANIFOLD PANEL DAMAGED
MN03 ,MANIFOLD PANEL DEFECTIVE
MN04 ,MANIFOLD PANEL LOOSE
MN05 ,MANIFOLD PANEL MISSING
MN06 ,MANIFOLD PANEL WRONG
MN07 ,MANIFOLD LEAKS
MN08 ,MANIFOLD DEFECTIVE
MN09 ,MANIFOLD ASM WRONG
MN10 ,MANIFOLD DAMAGED
MN11 ,DEBRIS IN MANIFOLD
MN12 ,MANIFOLD SEAL DEFECTIVE
MN13 ,MANIFOLD SEAL MISSING
MN14 ,MANIFOLD WRONG PART
MN25 ,MANIFOLD NUT LOOSE
MN40 ,SWITCH MNFLD HARN DEFECT
MN41 ,SWITCH MNFLD HARN DAMAGD
MN51 ,MANIFOLD UNPLUGGED
MT01 ,MEAT PROBE SOCKET DEF
MT02 ,MEAT PROBE SOCKET LOOSE
MT07 ,MEAT PROBE DAMAGED
MT08 ,MEAT PROBE DEFECTIVE
MT09 ,MEAT PROBE ASMD WRONG
MT10 ,MEAT PROBE MISSING
MT11 ,MEAT PROBE WRONG
MT12 ,MEAT PROBE UNPLUGGED
MT13 ,MAINTOP BRACKET ALIGN
MT14 ,RTV ON MAINTOP
MT15 ,MT HARNESS MISPLUGGED
MT20 ,MAINTOP INSTALLED WRONG
MT25 ,MEAT PROBE NOT NEEDED
MW00 ,LAUNCHBOX DEFECTIVE
MW01 ,LAUNCHBOX DAMAGED
MW02 ,LAUNCHBOX SCREWS MISSING
MW05 ,PAWL SPRING DEFECTIVE
MW10 ,RF LEAKAGE - CHANGED HINGE
MW11 ,RF CONVECT ELEMENT LEAK
MW12 ,RF BAKE ELEMENTLEAK
MW13 ,RF BROIL ELEMENT LOOSE
MW14 ,RF CAVITY DEFECTIVE
MW21 ,MW OVEN CAVITY SCRATCHED
MW28 ,MW NOT TESTED
MW29 ,RF SENSOR LEAK
MW30 ,RF CONVECT MOTOR LEAK
MW31 ,RFLEAK SILVER HINGE USED
MW32 ,RFLEAK YELLOW HINGE USED
MW33 ,RF BROIL ELEMENT LEAK
MW34 ,RF MAGNETRON LEAK
MW35 ,RF LAUNCH BOX LEAK
MW36 ,RF OVEN LIGHT LEAK
MW37 ,RF MISC LEAK
MW38 ,RFLEAK BLUE HINGE USED
MW39 ,RFLEAK GREEN HINGE USED
NC00 ,NEUTRAL CURRENT CONV FAN
NF01 ,NFD-HI/LOW FLOW
NF02 ,NFD-FAILED TO ACCEPT
NF03 ,NFD-COMPUTER FROZE UP
NF04 ,NFD-OP ERR NOT HOOKED UP
NF05 ,NFD-ENG OR TRIAL UNIT
NF06 ,NFD-OVEN IGNITION TIME
NF07 ,NFD-GROUND PATH
NF08 ,NFD-REPAIR NOT SIGNEDOFF
NF09 ,NFD-FAILED AIR TEST
NF10 ,NFD-SURF IGNITION TIME
NF11 ,NFD-COMMUNICATION CHECK
NF12 ,NFD-GLOW TEST
NF13 ,DEFECTIVE TICKET
NF14 ,NO VISUL DEFECT-MISC
NF15 ,NFD-EOL WRITE
NF16 ,NFD-FUSE BLOWN TEST EQUI
NF17 ,NO HYPOT MACH CNTL BRD
NF18 ,NFD-OP ABORTED TEST
NF19 ,NFD Probe Jack
NF20 ,NFD-NO POWER
NF21 ,NFD-HOOKUP FELL OFF
NF22 ,NFD CONV BAK WATTS OVRLP
NF23 ,NFD Convection Fan
NF24 ,NFD-HOOKUP FAILURE ODD
NF25 ,NFD-BREAKER OFF
NF26 ,UNABLE TO HOOK-UP
NF27 ,NFD-SCAN CROSSED
NF28 ,NFD-SKIPS TEST STATION
NF29 ,NFD-WILL NOT SCAN
NF30 ,NFD-GAS LEAK RETEST
NF31 ,GLOW TEST TIMES OUT
NF32 ,NFD-No Scan Mac ID
NF35 ,NFD-TROLLEY UNPLUGGED
NF36 ,NFD-Communication Lost
NF40 ,NFD-NO REPAIR GAS LEAK
NF43 ,NFD-SURFACE ELEM/NO DROP
NF49 ,NFD-LO LIMIT WITHIN 100W
NF50 ,NFD-HI LIMIT WITHIN 100W
NF51 ,NFD-KNOBS NOT SET
NF52 ,NFD-ROCKER SW NOT SET
NF53 ,NFD-Tester RJ45 Unplug
NF54 ,NFD-Timed Out
NF55 ,NFD-OVERFLOW FULL
NF66 ,NFD-NO GROUND MAGNET OFF
NF70 ,NFD-TROLLEY BAD
NF71 ,NFD-LINE ON AND OFF
NF72 ,NFD-SHOWS HYPOT
NF73 ,NFD-HOOK UP WIRE BROKE
NF74 ,NFD-INVALID MODEL NUMBER
NF75 ,NFD-SCANNER BAD
NF76 ,NFD-LOST POWER ON TROLLY
NF77 ,NFD-LOST POWR TROLY 9095
NF78 ,NFD-NO MODEL NUMBER
NF79 ,NFD-NO SCAN
NF80 ,NFD-SCAN OPERATOR ERROR
NF85 ,Safety Test Passed
NF88 ,Empty Trolley
NF89 ,NFD-TROLLY ALIGNMENT
NF90 ,NFD-RANGES TOO CLOSE
NF92 ,NFD-Clean Low Watts
NF93 ,NFD-BUTTON STUCK
NF94 ,NFD-OPERATOR ERROR
NF95 ,NFD-TEST EQUIP FAILURE
NF96 ,NFD-LOCK REFERENCE INIT
NF97 ,NFD-NEUTRAL CURRENT
NF98 ,NFD-WRONG DATA IN FTP
NF99 ,PLASTIC COVERING TICKET
NFD1 ,NFD-STATION #1
NFD2 ,NFD-STATION #2
NFD3 ,NFD-STATION #3
NFD4 ,NFD-STATION #4
NFD5 ,NFD-STATION #5
NFD6 ,NFD-STATION #6
NFD7 ,NFD-STATION #7
NFD8 ,NFD-STATION #8
NFD9 ,NFD-TEST STATION
NFDH ,NFD-HOOKUP FAILURE EVEN
NFDT ,NFD-MOD/SER # TRANSPOSED
NO01 ,NO VISUAL REPAIR TEAM 1A
NO02 ,NO VISUAL REPAIR TEAM 1B
NO03 ,NO VISUAL REPAIR TEAM 1C
NO04 ,NO VISUAL REPAIR TEAM 1D
NO05 ,NO VISUAL REPAIR TEAM 1E
NO06 ,NO VISUAL REPAIR TEAM 1F
NO07 ,NO VISUAL REPAIR TEAM 1G
NO08 ,NO VISUAL REPAIR TEAM 1H
NO09 ,NO VISUAL REPAIR TEAM 1I
NO10 ,NO VISUAL REPAIR TEAM 1J
NO11 ,NO VISUAL REPAIR TEAM 1K
NO12 ,NO VISUAL REPAIR TEAM 1L
NO13 ,NO VISUAL REPAIR TEAM 2A
NO14 ,NO VISUAL REPAIR TEAM 2B
NO15 ,NO VISUAL REPAIR TEAM 2C
NO16 ,NO VISUAL REPAIR TEAM 2D
NO17 ,NO VISUAL REPAIR TEAM 2E
NO18 ,NO VISUAL REPAIR TEAM 2F
NO19 ,NO VISUAL REPAIR TEAM 2G
NO20 ,NO VISUAL REPAIR TEAM 2H
NO21 ,NO VISUAL REPAIR TEAM 2I
NO22 ,NO VISUAL REPAIR TEAM 2J
NR01 ,NR-VISUAL CONTROL PANEL
NR02 ,NR-VISUAL FRONT FRAME
NR03 ,NR-VISUAL OVEN CAVITY
NR04 ,NR-VISUAL DOOR
NR05 ,NR-VISUAL MAINTOP COIL
NR07 ,NR-VISUAL MAINTOP RAD
NR08 ,NR-VISUAL BODYSIDE
NR09 ,NR-VISUAL GAS MAINTOP
NR10 ,NR-VISUAL KNOBS
NR11 ,NR-VISUAL DOOR FRAME
NR12 ,NR-VISUAL RTV
NR20 ,NR-VISUAL OVERLAY
NR34 ,NR-VISUAL RANGE UNLEVEL
NR35 ,NR-VISUAL DRAWER
NR36 ,NR-VISUAL DOOR LINER
NR54 ,NR-VISUAL BURN BOX BTM
NR60 ,NR-VISUAL HOT LIGHT ON
NR61 ,NR-NO DROP TEST TIME
NR63 ,NR-LOCK INTERMITTENT
NR70 ,NR-LOCK CYCLE SLOW
NR75 ,NR-REPAIR REJECTED
NR80 ,NR-Vertical Brace
NR99 ,NFD-LINE JAM UP
NS01 ,BAD CLEAR COAT
NS02 ,BAD PRINT
NS03 ,DAMAGED
NS04 ,DENT
NS05 ,FINGER PRINT
NS06 ,INK SMUDGE
NS07 ,LINT
NS08 ,MIS-ALIGN
NS09 ,MISCELLANEOUS
NS10 ,PAINT DEFECT
NS11 ,SCRATCH
NS12 ,TRASH
NS13 ,LIGHT SPRAY
NS14 ,SPLATTERS
NS15 ,RESPRAY
NS16 ,BLACK MATTE DEFECT
NS17 ,BUBBLES
NS18 ,STREAKS
NS19 ,NO CLEAR COAT
NS20 ,CRATERS/PITS
NS21 ,BAD MATTE
NS22 ,LEAKS
NS23 ,ALIGNMENT
NS24 ,BREAK IN GRAPHIC
NS25 ,LIFT IN GRAPHIC
NS26 ,INCORRECT GRAPHIC
NS27 ,DISCOLORATION
NS28 ,BREAK BEFORE OVEN
NS29 ,BREAK AFTER OVEN
NS30 ,ASM RETURN
NS31 ,GRAPHIC BLURR
NS32 ,INK YELLOWED
NS33 ,A-DIRTY
NS50 ,GRAPHIC LOCATION
NS51 ,PARTIAL GRAPHIC
NT01 ,BRASS NUT LOOSE
NT02 ,BRASS NUT DEFECTIVE
OBK1 ,ORIFICE BAKE DEFECTIVE
OBR2 ,ORIFICE BROIL DEFECTIVE
OLF3 ,ORIFICE LF DEFECTIVE
OLR4 ,ORIFICE LR DEFECTIVE
OMR7 ,ORIFICE MR DEFECTIVE
ORF5 ,ORIFICE RF DEFECTIVE
ORR6 ,ORIFICE RR DEFECTIVE
OV50 ,OVERLAY CROOKED
OV51 ,OVERLAY NUTS LOOSE
OV52 ,OVERLAY NUTS MISSING
P ,A-MUD CRACK
PA01 ,PACKOUT DAMAGED
PC01 ,POWER CORD MISPLUGGED
